ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,REG_LIM_AD
"229202396184000031","229","202","396184","00","0031",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",90.00,115.00,RUA PETRONIO ROSA DE SANTANA-COLE,"71",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229202396184000030","229","202","396184","00","0030",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",70.00,115.00,RUA PETRONIO ROSA DE SANTANA-COLE,"75",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229202396184000029","229","202","396184","00","0029",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",90.00,170.00,RUA PETRONIO ROSA DE SANTANA-COLE,"81",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229202396184000028","229","202","396184","00","0028",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",70.00,171.00,RUA PETRONIO ROSA DE SANTANA-COLE,"91",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229202396184000027","229","202","396184","00","0027",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",70.00,116.00,RUA PETRONIO ROSA DE SANTANA-COLE,"95",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229202396176000016","229","202","396176","00","0016",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",70.00,116.00,RUA PEDRO BLOCH,"94",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229229494445000018","229","229","494445","00","0018",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",30.00,130.00,RUA INES SABINO,"93",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229229494445000017","229","229","494445","00","0017",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",150.00,130.00,RUA INES SABINO,"87",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229229494445000016","229","229","494445","00","0016",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",180.00,130.00,RUA INES SABINO,"85",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229229494445000015","229","229","494445","00","0015",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",180.00,130.00,RUA INES SABINO,"94",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229229494445000014","229","229","494445","00","0014",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",100.00,130.00,RUA INES SABINO,"73",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229229494445000013","229","229","494445","00","0013",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",100.00,130.00,RUA INES SABINO,"69",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229229494445000012","229","229","494445","00","0012",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",100.00,130.00,RUA INES SABINO,"63",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229229494445000011","229","229","494445","00","0011",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",100.00,130.00,RUA INES SABINO,"59",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229229494445000010","229","229","494445","00","0010",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",30.00,130.00,RUA INES SABINO,"53",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229229494445000009","229","229","494445","00","0009",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",40.00,130.00,RUA INES SABINO,"49",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229229494445000001","229","229","494445","00","0001",IT,IPA,"2",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",200.00,130.00,RUA INES DE SABINO,"9",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229229167037000040","229","229","167037","00","0040",IT,IPA,"2",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",25348.00,29486.00,RUA MANUEL RODRIGUES SANTIAGO,"886",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"144027707104000060","144","027","707104","00","0060",IQ,JBO,"1",S,S,ZC,"0",,,"0","0",S,QA,"2",,,"0","0",MA,"14",,L,"16050","2014",PI,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",63.00,425.00,RUA RIO CORRENTE,"99",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"136104155691000038","136","104","155691","00","0038",GU,GUA,"2",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,887.00,RUA DA PASSAGEM FUNDA,"680",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"132278151483000653","132","278","151483","00","0653",IT,VCR,"3",S,S,ZEIS-2,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,2394.00,RUA OSORIO FRANCO VILHENA,"859",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"132278151483000652","132","278","151483","00","0652",IT,VCR,"1",S,S,ZEIS-2,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,7258.00,RUA OSORIO FRANCO VILHENA,"959",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"114127207365010000","114","127","207365","01","0000",IQ,ITQ,"2",S,S,ZEIS-2,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,3121.00,RUA LAGOA DO CAMPELO,"52",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
